request	Election_Jurisdiction:token	Election_Jurisdiction:id	Election_Jurisdiction	Election_Year:token	Election_Year:id	Election_Year	Election_Type:token	Election_Type:id	Election_Type	Office_Sought:token	Office_Sought:id	Office_Sought	#_of_Records	Total_$
s=NC&c-exi=1&c-r-ot=S&c-r-id=4864	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4871	"SENATE DISTRICT 041"	100	78395.43
s=NC&c-exi=1&c-r-ot=S&c-r-id=70750	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4868	"SENATE DISTRICT 038"	87	78322.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=12773	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4860	"SENATE DISTRICT 030"	190	78271.35
s=NC&c-exi=1&c-r-ot=S&c-r-id=53240	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4876	"SENATE DISTRICT 046"	172	77679.77
s=NC&c-exi=1&c-r-ot=S&c-r-id=61096	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4864	"SENATE DISTRICT 034"	126	77366.46
s=NC&c-exi=1&c-r-ot=S&c-r-id=27021	s	NC	NC	y	1998	1998	c-r-t	1	Standard	c-r-osid	4860	"SENATE DISTRICT 030"	185	75173.10
s=NC&c-exi=1&c-r-ot=S&c-r-id=23608	s	NC	NC	y	2000	2000	c-r-t	1	Standard	c-r-osid	4843	"SENATE DISTRICT 013"	153	75026.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=14845	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4851	"SENATE DISTRICT 021"	325	74924.19
s=NC&c-exi=1&c-r-ot=S&c-r-id=14849	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4862	"SENATE DISTRICT 032"	198	74568.16
s=NC&c-exi=1&c-r-ot=S&c-r-id=1086	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4874	"SENATE DISTRICT 044"	268	74339.40
s=NC&c-exi=1&c-r-ot=S&c-r-id=48572	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4867	"SENATE DISTRICT 037"	78	73727.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=61095	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4863	"SENATE DISTRICT 033"	129	73606.08
s=NC&c-exi=1&c-r-ot=S&c-r-id=7833	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4854	"SENATE DISTRICT 024"	351	73232.67
s=NC&c-exi=1&c-r-ot=S&c-r-id=1102	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4856	"SENATE DISTRICT 026"	175	72359.72
s=NC&c-exi=1&c-r-ot=S&c-r-id=33104	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4848	"SENATE DISTRICT 018"	208	71289.49
s=NC&c-exi=1&c-r-ot=S&c-r-id=6948	s	NC	NC	y	1998	1998	c-r-t	1	Standard	c-r-osid	4852	"SENATE DISTRICT 022"	160	71147.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=4868	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4836	"SENATE DISTRICT 006"	118	70205.30
s=NC&c-exi=1&c-r-ot=S&c-r-id=7842	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4865	"SENATE DISTRICT 035"	183	69929.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=49631	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4871	"SENATE DISTRICT 041"	80	69900.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=49609	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4848	"SENATE DISTRICT 018"	559	69830.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=1088	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4875	"SENATE DISTRICT 045"	241	69592.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=28304	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4879	"SENATE DISTRICT 049"	160	68654.22
s=NC&c-exi=1&c-r-ot=S&c-r-id=61083	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4851	"SENATE DISTRICT 021"	183	68442.01
s=NC&c-exi=1&c-r-ot=S&c-r-id=28320	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4866	"SENATE DISTRICT 036"	112	67935.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=33100	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4859	"SENATE DISTRICT 029"	226	67792.90
s=NC&c-exi=1&c-r-ot=S&c-r-id=23622	s	NC	NC	y	2000	2000	c-r-t	1	Standard	c-r-osid	4848	"SENATE DISTRICT 018"	143	66700.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=17981	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4858	"SENATE DISTRICT 028"	568	66493.10
s=NC&c-exi=1&c-r-ot=S&c-r-id=70709	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4864	"SENATE DISTRICT 034"	76	65600.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=61075	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4843	"SENATE DISTRICT 013"	295	64941.37
s=NC&c-exi=1&c-r-ot=S&c-r-id=49660	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4859	"SENATE DISTRICT 029"	158	64820.00
