request	Election_Jurisdiction:token	Election_Jurisdiction:id	Election_Jurisdiction	Election_Year:token	Election_Year:id	Election_Year	Election_Type:token	Election_Type:id	Election_Type	Office_Sought:token	Office_Sought:id	Office_Sought	#_of_Records	Total_$
s=NC&c-exi=1&c-r-ot=H&c-r-id=61049	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4816	"HOUSE DISTRICT 107"	35	24550.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=14834	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4814	"HOUSE DISTRICT 105"	78	24531.12
s=NC&c-exi=1&c-r-ot=H&c-r-id=45568	s	NC	NC	y	2000	2000	c-r-t	1	Standard	c-r-osid	4710	"HOUSE DISTRICT 001"	75	24490.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=48567	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4777	"HOUSE DISTRICT 068"	157	24424.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=70715	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4818	"HOUSE DISTRICT 109"	78	24234.84
s=NC&c-exi=1&c-r-ot=H&c-r-id=28351	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4751	"HOUSE DISTRICT 042"	74	24146.95
s=NC&c-exi=1&c-r-ot=H&c-r-id=51240	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4764	"HOUSE DISTRICT 055"	68	24113.61
s=NC&c-exi=1&c-r-ot=H&c-r-id=61023	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4790	"HOUSE DISTRICT 081"	94	24070.20
s=NC&c-exi=1&c-r-ot=H&c-r-id=49611	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4730	"HOUSE DISTRICT 021"	69	24021.22
s=NC&c-exi=1&c-r-ot=H&c-r-id=47639	s	NC	NC	y	1998	1998	c-r-t	1	Standard	c-r-osid	4710	"HOUSE DISTRICT 001"	86	24015.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=48577	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4810	"HOUSE DISTRICT 101"	88	23975.89
s=NC&c-exi=1&c-r-ot=H&c-r-id=47669	s	NC	NC	y	1998	1998	c-r-t	1	Standard	c-r-osid	4779	"HOUSE DISTRICT 070"	52	23875.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=7815	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4773	"HOUSE DISTRICT 064"	120	23860.60
s=NC&c-exi=1&c-r-ot=H&c-r-id=19616	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4740	"HOUSE DISTRICT 031"	245	23836.80
s=NC&c-exi=1&c-r-ot=H&c-r-id=23675	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4822	"HOUSE DISTRICT 113"	119	23800.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=36443	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4800	"HOUSE DISTRICT 091"	105	23779.77
s=NC&c-exi=1&c-r-ot=H&c-r-id=49634	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4805	"HOUSE DISTRICT 096"	41	23773.38
s=NC&c-exi=1&c-r-ot=H&c-r-id=70688	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4755	"HOUSE DISTRICT 046"	65	23369.16
s=NC&c-exi=1&c-r-ot=H&c-r-id=70671	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4809	"HOUSE DISTRICT 100"	106	23356.44
s=NC&c-exi=1&c-r-ot=H&c-r-id=48583	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4801	"HOUSE DISTRICT 092"	44	23350.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=27061	s	NC	NC	y	1998	1998	c-r-t	1	Standard	c-r-osid	4762	"HOUSE DISTRICT 053"	68	23048.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=4920	s	NC	NC	y	2000	2000	c-r-t	1	Standard	c-r-osid	4796	"HOUSE DISTRICT 087"	42	22815.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=45554	s	NC	NC	y	2000	2000	c-r-t	1	Standard	c-r-osid	4774	"HOUSE DISTRICT 065"	70	22770.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=7849	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4714	"HOUSE DISTRICT 005"	52	22744.99
s=NC&c-exi=1&c-r-ot=H&c-r-id=28299	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4812	"HOUSE DISTRICT 103"	47	22658.78
s=NC&c-exi=1&c-r-ot=H&c-r-id=53268	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4735	"HOUSE DISTRICT 026"	35	22600.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=45569	s	NC	NC	y	2000	2000	c-r-t	1	Standard	c-r-osid	4786	"HOUSE DISTRICT 077"	58	22425.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=4918	s	NC	NC	y	2000	2000	c-r-t	1	Standard	c-r-osid	4792	"HOUSE DISTRICT 083"	62	22326.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=48562	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4815	"HOUSE DISTRICT 106"	194	22324.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=27073	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4793	"HOUSE DISTRICT 084"	57	22244.35
s=NC&c-exi=1&c-r-ot=H&c-r-id=27053	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4755	"HOUSE DISTRICT 046"	77	22239.37
s=NC&c-exi=1&c-r-ot=H&c-r-id=47693	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4766	"HOUSE DISTRICT 057"	70	22219.28
